,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22001007,1610612739,CLE,Cleveland,1626224,Cedi Osman,F,,9:20,68.9,68.4,135.1,126.3,-66.3,-57.9,0.5,2.0,22.2,0.0,0.111,0.045,11.1,0.1669999999999999,0.1669999999999999,0.304,0.306,94.22,97.71,81.43,19,-0.053
1,22001007,1610612739,CLE,Cleveland,1629731,Dean Wade,F,,11:57,80.0,79.2,130.7,130.4,-50.7,-51.3,0.1669999999999999,0.0,25.0,0.0,0.154,0.071,0.0,0.75,0.868,0.107,0.108,93.79,94.35,78.63,24,0.161
2,22001007,1610612739,CLE,Cleveland,1628386,Jarrett Allen,C,,9:20,68.9,68.4,135.1,126.3,-66.3,-57.9,0.25,0.5,16.7,0.154,0.222,0.182,33.3,0.3329999999999999,0.3329999999999999,0.217,0.2189999999999999,94.22,97.71,81.43,19,0.053
3,22001007,1610612739,CLE,Cleveland,1630171,Isaac Okoro,G,,5:58,92.6,91.7,144.6,141.7,-52.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3329999999999999,0.3329999999999999,0.214,0.216,95.09,96.54,80.45,12,-0.073
4,22001007,1610612739,CLE,Cleveland,1629012,Collin Sexton,G,,9:49,86.0,81.0,130.3,130.0,-44.2,-49.0,0.0,0.0,0.0,0.091,0.083,0.087,14.3,0.6,0.68,0.304,0.322,97.06,100.19,83.49,21,0.151
5,22001007,1610612739,CLE,Cleveland,1628422,Damyean Dotson,,,5:59,67.3,66.7,116.1,118.2,-48.7,-51.5,0.0,0.0,0.0,0.0,0.286,0.133,0.0,0.0,0.0,0.214,0.216,92.5,92.18,76.82,12,-0.063
6,22001007,1610612739,CLE,Cleveland,1630271,Brodric Thomas,,,4:45,90.1,88.9,122.0,125.0,-31.9,-36.1,0.0,0.0,0.0,0.1669999999999999,0.0,0.091,0.0,0.0,0.0,0.0,0.0,86.21,85.8,71.5,9,-0.038
7,22001007,1610612739,CLE,Cleveland,1628392,Isaiah Hartenstein,,,2:37,123.0,120.0,115.4,120.0,7.6,0.0,0.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.28,91.54,76.29,5,0.0
8,22001007,1610612742,DAL,Dallas,203501,Tim Hardaway Jr.,F,,9:20,135.1,126.3,68.9,68.4,66.3,57.9,0.4,0.0,22.2,0.0,0.077,0.045,0.0,0.75,0.799,0.3329999999999999,0.354,94.22,97.71,81.43,19,0.347
9,22001007,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,F,,5:60,144.6,141.7,101.9,100.0,42.7,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.071,0.073,98.22,100.14,83.45,12,0.035
10,22001007,1610612742,DAL,Dallas,1626161,Willie Cauley-Stein,C,,5:08,131.6,118.2,73.5,72.7,58.0,45.5,0.0,0.0,0.0,0.0,0.143,0.077,0.0,0.0,0.0,0.0,0.0,97.06,102.86,85.71,11,0.026
11,22001007,1610612742,DAL,Dallas,1626196,Josh Richardson,G,,9:20,135.1,126.3,68.9,68.4,66.3,57.9,0.286,0.0,28.6,0.111,0.077,0.091,0.0,0.4,0.4,0.238,0.253,94.22,97.71,81.43,19,0.173
12,22001007,1610612742,DAL,Dallas,1629029,Luka Doncic,G,,7:45,126.0,118.8,88.8,87.5,37.2,31.3,0.0,0.0,0.0,0.1,0.3329999999999999,0.211,0.0,0.417,0.58,0.4,0.419,95.44,99.03,82.53,16,0.294
13,22001007,1610612742,DAL,Dallas,203939,Dwight Powell,,,6:49,130.0,130.8,85.4,84.6,44.6,46.2,0.0,0.0,0.0,0.0,0.25,0.133,0.0,0.0,0.0,0.0,0.0,91.33,91.47,76.23,13,0.042
14,22001007,1610612742,DAL,Dallas,1628973,Jalen Brunson,,,6:48,130.0,130.8,75.0,69.2,55.0,61.5,0.4,0.0,50.0,0.0,0.125,0.067,0.0,0.0,0.0,0.133,0.133,88.56,91.81,76.51,13,0.043
15,22001007,1610612742,DAL,Dallas,1630182,Josh Green,,,5:59,116.1,118.2,67.3,66.7,48.7,51.5,0.25,0.0,33.3,0.143,0.125,0.133,0.0,0.0,0.266,0.154,0.152,92.5,92.18,76.82,11,0.094
16,22001007,1610612742,DAL,Dallas,203504,Trey Burke,,,2:37,115.4,120.0,123.0,120.0,-7.6,0.0,0.0,0.0,0.0,0.25,0.0,0.1669999999999999,0.0,0.5,0.615,0.286,0.278,92.28,91.54,76.29,5,0.417
