,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21900439,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,F,,10:44,86.5,86.4,152.2,173.9,-65.7,-87.5,0.0,0.0,0.0,0.0,0.111,0.05,0.0,0.833,0.773,0.1669999999999999,0.1669999999999999,107.8,100.56,83.8,22,0.069
1,21900439,1610612742,DAL,Dallas,204001,Kristaps Porzingis,F,,8:03,82.5,82.4,135.3,158.8,-52.7,-76.5,0.0,0.0,0.0,0.111,0.0,0.063,25.0,0.5,0.6940000000000001,0.211,0.211,109.98,101.28,84.4,17,0.0409999999999999
2,21900439,1610612742,DAL,Dallas,203939,Dwight Powell,C,,1:14,41.0,40.0,180.4,140.0,-139.4,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.136,0.4,0.41,170.46,194.59,162.16,5,0.0
3,21900439,1610612742,DAL,Dallas,203501,Tim Hardaway Jr.,G,,8:35,78.0,77.8,143.1,166.7,-65.2,-88.9,0.0,0.0,0.0,0.0,0.286,0.118,20.0,0.0,0.258,0.25,0.251,108.74,100.58,83.82,18,0.0
4,21900439,1610612742,DAL,Dallas,1628973,Jalen Brunson,G,,11:42,81.3,80.8,153.7,173.1,-72.4,-92.3,0.3329999999999999,0.5,12.5,0.083,0.0,0.043,25.0,0.5,0.6579999999999999,0.25,0.251,113.0,106.61,88.84,26,0.074
5,21900439,1610612742,DAL,Dallas,1628467,Maxi Kleber,,,1:10,51.5,50.0,180.4,175.0,-128.9,-125.0,0.0,0.0,0.0,0.0,0.5,0.3329999999999999,0.0,0.0,0.0,0.25,0.258,159.63,164.57,137.14,4,0.0
6,21900439,1610612742,DAL,Dallas,1626153,Delon Wright,,,5:30,58.3,58.3,217.0,208.3,-158.7,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.231,0.231,102.63,104.73,87.27,12,-0.196
7,21900439,1610612742,DAL,Dallas,1629151,Ryan Broekhoff,,,3:55,70.9,70.0,196.1,200.0,-125.2,-130.0,0.0,0.0,0.0,0.0,0.25,0.143,0.0,0.0,0.0,0.1,0.1009999999999999,123.04,122.55,102.13,10,-0.043
8,21900439,1610612742,DAL,Dallas,203552,Seth Curry,,,8:57,91.2,86.4,136.9,154.5,-45.7,-68.2,0.5,2.0,50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.087,0.092,122.4,117.9,98.25,22,0.0
9,21900439,1610612761,TOR,Toronto,200768,Kyle Lowry,G,,11:58,155.8,174.1,78.2,77.8,77.6,96.3,0.286,0.0,15.4,0.0,0.083,0.043,0.0,0.9,0.883,0.3329999999999999,0.332,114.25,108.24,90.2,27,0.312
10,21900439,1610612761,TOR,Toronto,1627832,Fred VanVleet,G,,1:35,102.0,120.0,115.7,125.0,-13.7,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.1669999999999999,0.17,153.96,135.85,113.21,5,-0.133
11,21900439,1610612761,TOR,Toronto,1626178,Rondae Hollis-Jefferson,,,11:58,155.8,174.1,78.2,77.8,77.6,96.3,0.0,0.0,0.0,0.182,0.1669999999999999,0.174,0.0,0.4,0.51,0.182,0.181,114.25,108.24,90.2,27,0.083
12,21900439,1610612761,TOR,Toronto,1628449,Chris Boucher,,,11:58,155.8,174.1,78.2,77.8,77.6,96.3,0.0,0.0,0.0,0.091,0.1669999999999999,0.13,0.0,0.75,0.904,0.212,0.211,114.25,108.24,90.2,27,0.302
13,21900439,1610612761,TOR,Toronto,1629056,Terence Davis,,,11:58,155.8,174.1,78.2,77.8,77.6,96.3,0.083,0.0,20.0,0.0,0.1669999999999999,0.087,0.0,1.0,1.042,0.121,0.121,114.25,108.24,90.2,27,0.2289999999999999
14,21900439,1610612761,TOR,Toronto,1626259,Malcolm Miller,,,10:23,168.9,186.4,71.0,69.6,97.8,116.8,0.1669999999999999,0.0,40.0,0.0,0.273,0.15,0.0,0.0,0.0,0.111,0.11,108.17,104.01,86.68,22,0.099
