,,,,,,,,
89477547,7.14825803739,49.2851255736,substation,110000,50.0,UA Rohrbach,,
156402422,7.319283463069999,49.3048184245,substation,220000;110000,50.0,Pfalzwerke,Pfalzwerke,
54448056,7.2133498084,49.1681651124,substation,0,,,Pfalzwerke AG,
31135714,7.1171028117600015,49.3217410302,substation,220000;110000,50.0,Umspannwerk Heinitz,,
52813220,7.04358023714,49.2143463205,substation,220000;110000,50.0,UA Brebach,,
89025028,6.97753823518,49.2438567419,substation,110000;15000,16.7,Unterwerk Saarbrücken,DB_Energie,
89198158,7.0371027711,49.2313248542,substation,0,,,,
27776007,6.84005538375,49.235644272200005,substation,0,,Umspannanlage Geislautern,,
24599434,6.879073162919999,49.249099383,plant,0,,Kraftwerk Fenne,Evonik New Energies GmbH,
104810262,7.193983086839999,49.3333773532,station,0,,KEW Energieversorgung,,
106456206,7.14456523268,49.3346421916,substation,0,,,,
156402426,7.236330945720001,49.3425060989,substation,0,,,,
130913158,6.7821198766,49.2755546095,sub_station,0,,,Röhrenwerke Bous,
155045848,6.83960791641,49.2527173781,substation,110000,,,,
82773910,6.77320788701,49.2910742365,substation,380000;220000;110000,50.0,Umspannanlage Ensdorf,,
93351747,6.726459791930001,49.2724511183,substation,0,,UA Überherrn,,
132816119,6.796747893689999,49.2577525309,substation,0,,UA Schaffhausen,,
106976933,7.025521348019999,49.2991333364,substation,0,,,,
100812630,7.031299771689999,49.3308301926,substation,220000;110000,,,,
89215122,6.76597463885,49.3600908062,substation,220000;110000,50.0,Station Saarwellingen,Amprion,
89614507,6.630033596340001,49.4545581296,substation,110000,50.0,UA Merzig,VSE,
89614513,6.6883125608,49.3657354558,substation,110000,,UA Rehlingen,,
106549933,6.70972205893,49.3658750067,station,0,,,Stadtwerke Dillingen,
278132700,6.7400506814100005,49.356605842,station,0,,,,
142365387,6.901242636799999,49.40935169350001,substation,110000,50.0,UA Lebach,,
54359256,6.99645467504,49.3754150091,substation,380000;220000;110000,50.0,Umspannwerk Uchtelfangen,Amprion,
69463905,6.872883654910001,49.4455284642,station,0,,Umspannanlage Schmelz,VSE,
195859545,6.419062491849999,49.4915141888,substation,0,,UA Borg,,
115145869,6.7710188068,49.2933945724,plant,0,,Kraftwerk Ensdorf,,
104907160,6.91312758087,49.2949115014,substation,0,,UA Köllerbach,Energis,
90707972,6.80020224596,49.502211638,substation,0,,,Energis,
38309228,6.89047067988,49.5274749989,substation,110000,,Umspannwerk,,
89341211,6.88435279104,49.2486275944,substation,110000,,,,
98492966,7.04939474008,49.3447096634,station,0,,,,
106152110,6.75741028292,49.3100826899,substation,0,,,VSE,
51300783,7.114671034369999,49.3491263486,substation,0,,,,
28051874,7.23596813031,49.3627135802,plant,0,,Kraftwerk Bexbach,,
30425117,7.03146022598,49.3353698986,plant,0,,Kraftwerk Weiher,,
102727378,6.975361768250001,49.5805605504,sub_station,0,,,,
102806233,7.166148873660001,49.461112772,station,0,,,,
142299114,7.07323840632,49.4776708997,station,0,,UA Alsweiler,,
119253935,7.33353319666,49.2512823168,station,0,,,,
119253879,7.377632578739999,49.2587130957,substation,0,,,Pfalzwerke AG,
89352550,7.24037476757,49.357649774,substation,380000;220000;110000,50.0,Schaltanlage St. Barbara,Amprion / STEAG,
92936047,7.2808013864,49.6226639198,substation,0,,Station Ruschberg,Westnetz,
31773680,7.13171743888,49.5549156872,substation,0,,,,
176208790,7.23791843214,49.5469247233,substation,0,,UA Freisen,,
176704629,7.029982736760001,49.3346604509,substation,0,,,,
106976898,7.170342848169999,49.3558349485,substation,220000,,Saarstahl,,
90109302,6.749700124430001,49.3651763762,substation,220000,50.0,UA Obergraben,Amprion,
82310607,6.75552343093,49.3648696291,substation,220000,50.0,Dieffeln,VSE,
90109304,6.741376169,49.35749197689999,substation,220000,50.0,UA Dillinger Hütte Mitte,,
152018146,7.2357934881100014,49.3693923812,substation,380000,50.0,Mittelbexbach,Amprion,
203791988,7.23898187803,49.36181759310001,station,0,,,,
