,,,,,,,,,,,,,,,,,,,,,,,,
1.0,20.0,26000.0,26000.0,696.0,0.0,4200.0,0.0,0.0,0.0,4200.0,0.0,0.0267692307692307,0.0007561538461538,,126118.0,127196.0,4089.0,30740.0,126172.0,126053.0,127035.0,3647.0,30707.0,126899.0
2.0,19.0,52000.0,52000.0,1797.0,0.0,2100.0,0.0,0.0,0.0,2100.0,0.0,0.0345576923076923,0.0003780769230769,,324563.0,324570.0,134169.0,160407.0,324563.0,324472.0,324515.0,134122.0,160982.0,324472.0
3.0,18.0,78000.0,78000.0,2012.0,0.0,1400.0,0.0,0.0,0.0,1400.0,0.0,0.0257948717948717,0.0002520512820512,,363277.0,363279.0,134333.0,487869.0,363277.0,363219.0,363224.0,134124.0,488411.0,363219.0
4.0,17.0,104000.0,104000.0,2031.0,0.0,1050.0,0.0,0.0,0.0,1050.0,0.0,0.0195288461538461,0.0001890384615384,,366694.0,366696.0,462777.0,854100.0,366694.0,366636.0,366641.0,462462.0,854639.0,366636.0
5.0,16.0,130000.0,130000.0,17575.0,0.0,840.0,0.0,0.0,0.0,840.0,0.0,0.1351923076923077,0.0001512307692307,,3166498.0,3166503.0,134332.0,1223805.0,3166498.0,3166441.0,3166447.0,134123.0,1224342.0,3166441.0
6.0,15.0,156000.0,156000.0,8122.0,0.0,700.0,140.0,0.0,0.0,700.0,140.0,0.0520641025641025,0.0001260256410256,,1463777.0,1598048.0,831149.0,4393374.0,1490333.0,1463721.0,1598060.0,830848.0,4607331.0,1490302.0
7.0,14.0,156000.0,156000.0,1163.0,0.0,700.0,0.0,0.0,0.0,700.0,0.0,0.0074551282051282,0.0001260256410256,,210329.0,210450.0,2298053.0,5993831.0,210329.0,210273.0,210276.0,1202921.0,5614432.0,210273.0
8.0,13.0,182000.0,182000.0,2734.0,0.0,600.0,0.0,0.0,0.0,600.0,0.0,0.015021978021978,0.0001080219780219,,493242.0,493362.0,134333.0,6207339.0,493276.0,493184.0,493306.0,134116.0,6207623.0,493220.0
9.0,12.0,208000.0,208000.0,20604.0,0.0,525.0,320.0,-60.0,0.0,525.0,380.0,0.0990576923076923,9.45192307692308e-05,,3712057.0,7977265.0,833490.0,6703989.0,4185166.0,3712000.0,7480353.0,833141.0,6704217.0,4183413.0
10.0,11.0,260000.0,260000.0,33451.0,0.0,420.0,760.0,60.0,0.0,420.0,700.0,0.1286576923076923,7.561538461538461e-05,,6487665.0,13397970.0,3633522.0,10881023.0,8670620.0,6487404.0,9549282.0,3633175.0,10881011.0,7641872.0
11.0,10.0,312000.0,312000.0,4271.0,0.0,350.0,0.0,0.0,0.0,350.0,0.0,0.0136891025641025,6.30128205128205e-05,,770133.0,770255.0,2883787.0,17410976.0,770133.0,770077.0,773103.0,2880436.0,17410761.0,770077.0
12.0,9.0,364000.0,364000.0,12051.0,0.0,300.0,150.0,10.0,0.0,300.0,140.0,0.0331071428571428,5.401098901098901e-05,,2171464.0,13168905.0,960550.0,18184692.0,2726776.0,2171407.0,13167925.0,960203.0,18184473.0,2698276.0
13.0,8.0,390000.0,390000.0,6545.0,0.0,280.0,220.0,-9.0,0.0,280.0,229.0,0.0167820512820512,5.041025641025642e-05,,1179677.0,8537875.0,3672229.0,21192263.0,2360990.0,1179620.0,6362283.0,3671881.0,21191734.0,2159956.0
14.0,7.0,520000.0,520000.0,4361.0,0.0,210.0,10.0,-16.0,0.0,210.0,26.0,0.0083865384615384,3.780769230769231e-05,,786334.0,919957.0,10997295.0,22375633.0,792725.0,786278.0,12426038.0,10996482.0,30178716.0,1146358.0
15.0,6.0,546000.0,546000.0,49638.0,0.0,200.0,570.0,-7.0,0.0,200.0,577.0,0.0909120879120879,3.600732600732601e-05,,9537215.0,35088235.0,999460.0,23165598.0,18074424.0,9536657.0,31249579.0,999118.0,23165041.0,17791739.0
16.0,5.0,624000.0,624000.0,5065.0,0.0,175.0,30.0,-8.0,0.0,175.0,38.0,0.0081169871794871,3.150641025641026e-05,,913169.0,9277987.0,7509534.0,43607840.0,1499490.0,913113.0,16403755.0,7508903.0,54029878.0,1651853.0
17.0,4.0,650000.0,650000.0,38865.0,0.0,168.0,385.0,1.0,0.0,168.0,384.0,0.0597923076923076,3.024615384615385e-05,,7134539.0,51981118.0,3304833.0,44507019.0,16428394.0,7134502.0,49088262.0,3304519.0,45673679.0,16366829.0
18.0,3.0,728000.0,728000.0,5713.0,0.0,150.0,42.0,7.0,0.0,150.0,35.0,0.0078475274725274,2.7005494505494505e-05,,1029807.0,30023814.0,3507881.0,65118231.0,1893947.0,1029750.0,15876252.0,3507472.0,65094265.0,1541664.0
19.0,2.0,780000.0,780000.0,18688.0,0.0,140.0,193.0,8.0,0.0,140.0,185.0,0.0239589743589743,2.520512820512821e-05,,3366826.0,53007156.0,13865721.0,69287481.0,11089573.0,3366770.0,40075467.0,13864912.0,69262774.0,8632259.0
20.0,1.0,910000.0,910000.0,81256.0,2.0,120.0,633.0,11.0,0.0,120.0,622.0,0.0892923076923077,2.160439560439561e-05,,15732529.0,100440663.0,3802802.0,82196693.0,60345198.0,15731756.0,87898514.0,3802473.0,82192651.0,45837554.0
,,109200000.0,,,,,3453.0,,,,3456.0,0.8959845695970696,0.0026335758241758,0.8986181454212454,,,,,,,,,,
,,,,,,,-0.0008688097306689,,,,,,,,,,,,,,,,,
