,,,,,,
StackedEnsemble_BestOfFamily_AutoML_20200713_202839,0.7947342645927101,0.4910543179994621,0.8950790468110923,0.3531109349128985,0.4027962535157649,0.1622448218463363
StackedEnsemble_AllModels_AutoML_20200713_202839,0.7918367108976003,0.4951421338060472,0.8940199821580302,0.3620076490753481,0.4048982220453792,0.1639425702155092
GBM_grid__1_AutoML_20200713_202839_model_6,0.7899944031155992,0.4939095531271603,0.8930661954893839,0.3447913994543037,0.4049974533376991,0.1640229372100217
GLM_1_AutoML_20200713_202839,0.7856014318695926,0.5005724488666986,0.891600502703956,0.3844768079102633,0.4080313726771273,0.1664896010887808
XRT_1_AutoML_20200713_202839,0.7846336372752499,0.4986099213078272,0.8860697900603749,0.3436487022224295,0.4061685863236061,0.1649729205161166
XGBoost_grid__1_AutoML_20200713_202839_model_4,0.7826659826030177,0.5087873403646287,0.883880591223128,0.3815092931601408,0.4088191557120161,0.1671331020770856
XGBoost_grid__1_AutoML_20200713_202839_model_6,0.7818614304703715,0.5026888545993088,0.8906180671298896,0.4024917795760361,0.4085920111746434,0.1669474315957399
DRF_1_AutoML_20200713_202839,0.7814416641402953,0.5010470696288758,0.8899609558271686,0.3604160350738089,0.4092754736829952,0.1675064133584401
GBM_grid__1_AutoML_20200713_202839_model_9,0.7811822252279564,0.5063165823860513,0.8817444231629801,0.3878990695179683,0.4094992914235026,0.1676896696763507
XGBoost_grid__1_AutoML_20200713_202839_model_2,0.7807741190737156,0.5047270994281109,0.8806264469100379,0.3547142090902731,0.4084076611847239,0.1667968177143762
GBM_4_AutoML_20200713_202839,0.7774189034770644,0.5110847951515157,0.8848469255145536,0.3655465124414076,0.4123457301223779,0.1700290011501569
GBM_1_AutoML_20200713_202839,0.7762266504978895,0.5128713657419479,0.8813303977570329,0.3397775238450596,0.4130124888238356,0.1705793159244589
GBM_3_AutoML_20200713_202839,0.7758156292996898,0.5112105528127728,0.8826594698599143,0.3746706000326485,0.4123708293718303,0.1700497009168111
GBM_grid__1_AutoML_20200713_202839_model_2,0.7746933373755277,0.5073522903171512,0.8837547800108341,0.3774049112660618,0.4107036911220576,0.1686775219012825
GBM_grid__1_AutoML_20200713_202839_model_4,0.7719648562300319,0.510562556427776,0.8813402497557138,0.3433163872111191,0.4124974703147057,0.1701541630160315
XGBoost_grid__1_AutoML_20200713_202839_model_3,0.7708396492619108,0.5133103625506921,0.8767545370030527,0.382080641776078,0.4130861834085747,0.1706401949230626
GBM_grid__1_AutoML_20200713_202839_model_5,0.7705044192066416,0.5181968757672548,0.8751678708552507,0.3272370047340314,0.4146736804117889,0.1719542612262584
XGBoost_3_AutoML_20200713_202839,0.7695191343485459,0.5331652888821325,0.8768291572009207,0.3483302628203633,0.4183985570435815,0.1750573525361511
GBM_grid__1_AutoML_20200713_202839_model_8,0.769475408689163,0.5149438639989189,0.8831711550458947,0.4011275390032881,0.4153259533522234,0.1724956475279331
GBM_grid__1_AutoML_20200713_202839_model_7,0.7694491732935334,0.5335763117951584,0.8841667344465945,0.405914041183741,0.4207124315494033,0.1769989500602113
GBM_2_AutoML_20200713_202839,0.7680470371493202,0.5143229725021237,0.8805538312255597,0.3544868356614818,0.4144417799851682,0.1717619889972745
XGBoost_grid__1_AutoML_20200713_202839_model_1,0.7656071453557519,0.5195050981730561,0.8748852626599196,0.4173176931508127,0.4161711885365113,0.1731984581678925
GBM_grid__1_AutoML_20200713_202839_model_3,0.7633159208040857,0.5330409105538719,0.8749124922581599,0.4169737179636669,0.4222300490226732,0.178278214297689
XGBoost_1_AutoML_20200713_202839,0.7630681420675823,0.5335025953696231,0.8699160462459141,0.3761514423637508,0.4186456730128455,0.1752641995323784
GBM_grid__1_AutoML_20200713_202839_model_1,0.7620245563303095,0.5688493058805854,0.8791137246815591,0.3703388447097782,0.4293154704230849,0.1843117731445948
GBM_5_AutoML_20200713_202839,0.7568007975560271,0.5253742208674794,0.8719991313346558,0.4231361208927031,0.4193308149046575,0.1758383323286041
XGBoost_grid__1_AutoML_20200713_202839_model_7,0.756719176325179,0.5311497515576941,0.872699352857646,0.4254156852685338,0.4218846522749824,0.1779866598251828
XGBoost_grid__1_AutoML_20200713_202839_model_5,0.7552033534665703,0.5275945346208487,0.8646403638278032,0.3912047293673189,0.4192880470557725,0.1758024664038436
XGBoost_2_AutoML_20200713_202839,0.7527692917609198,0.5366029385216212,0.8676380379706597,0.4308901378232784,0.4241198101458105,0.1798776133581184
