,,,,,,
ChIJ-ZMSqc5t5kcRVzvwyo-TaPA,35-27 Rue de Thionville,48.8904561,2.3863369,,,route
ChIJq6qqqs5t5kcRcNOg1EqEaE0,La Villette,48.8906136,2.3867083,3.4,8.0,parking point_of_interest establishment
ChIJeb1uTclt5kcRzSGWr73bQNI,The Logistic Company,48.8899315,2.3867637000000004,,,moving_company point_of_interest establishment
ChIJYQemHj9s5kcRB6gPv9ScfWk,Kani monte meubles,48.8905621,2.386310700000001,4.8,36.0,moving_company storage point_of_interest establishment
ChIJNaX5CMdt5kcRuePOYugKpmM,Appartements d'Hébergement Temporaire par la Fondation Maison des Champs,48.8901809,2.3870862,,,point_of_interest establishment
ChIJ2XMiUclt5kcRVmAGVlKU6Fo,Solis Holding,48.8901809,2.3870862,,,finance point_of_interest establishment
ChIJW7QVUclt5kcRlodtJhsS0rs,Benharrous Mouchi Maurice,48.8901809,2.3870862,,,point_of_interest establishment
ChIJpwXcUMlt5kcRK36ft5V5Lus,Theil Harald,48.8901809,2.3870862,,,point_of_interest establishment
ChIJcf9MI_ht5kcR8PmGYaXxFHU,Garage,48.8905346,2.3867975,,,lodging point_of_interest establishment
ChIJRRtWVclt5kcR9pmpOfs6shQ,Kedar Paris Stay 2018,48.8906117,2.3867331000000003,,,lodging point_of_interest establishment
ChIJN7YCBuht5kcRoNL_d_ve8Mg,Masta,48.8906136,2.3867083,,,lodging point_of_interest establishment
ChIJq6qqqs5t5kcRA1nPuv1bQRU,L’association AVVENTURE DI VITA,48.8906136,2.3867083,,,point_of_interest establishment
ChIJu75xEsJs5kcRTFKSXsDdUog,bijoux-sorval,48.890614,2.386708,,,point_of_interest establishment
ChIJ73Sit9lt5kcRvOMFpQlgvpQ,Tesfamariam,48.8906411,2.3866798,,,point_of_interest establishment
ChIJq6qqqs5t5kcRjpDfIO-Viyw,goldjujubee,48.8906411,2.3866798,,,point_of_interest establishment
ChIJq6qqqs5t5kcR4Y-XNjHEyaw,DRS EXPERT CONSEIL,48.8906411,2.3866798,5.0,1.0,point_of_interest establishment
ChIJfV8Rqkxt5kcRsu6TXMmqQGs,Omar,48.8903583,2.3863075,,,park point_of_interest establishment
ChIJL-q1_8tt5kcRLR-tftwumVQ,vélOstéo,48.8907001,2.386812,,,health point_of_interest establishment
ChIJ8ZluTclt5kcRsCl0M_Lr5Uo,Dc Fiduciaire,48.8899315,2.3867637000000004,,,accounting finance point_of_interest establishment
ChIJD7fiBh9u5kcRYJSMaMOCCwQ,Paris,48.856614,2.3522218999999995,,,locality political
ChIJq5EDqc5t5kcRQdALQ_tcit4,Mikve Les Eaux Vives,48.890579200000005,2.3863964,,,point_of_interest establishment
ChIJ8ZluTclt5kcRjJDACuQRhiM,Reconcil,48.8899259,2.3867672000000004,,,point_of_interest establishment
ChIJzeUYs85t5kcRUakWy07GRtQ,Granier Julien,48.8899259,2.3867672000000004,,,point_of_interest establishment
ChIJKwPyqc5t5kcRznxXiNMqXyw,To Be Technology,48.8905621,2.386310700000001,,,point_of_interest establishment
ChIJKwPyqc5t5kcR3PCD_arZjQs,Résidence Inn,48.8905621,2.386310700000001,,,point_of_interest establishment
ChIJqVsoKrBx5kcRFdjrUNidVSU,Napoleone Tour,48.8905621,2.386310700000001,5.0,32.0,travel_agency point_of_interest establishment
ChIJbUqMqc5t5kcR17tduQjFoNU,Fondation Communautaire pour l'Enseignement et l'Education (FCEE),48.8905621,2.386310700000001,,,point_of_interest establishment
