,,,,,,,,,,,,
5,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,974,2021-01-24T16:53:08.0260-0500,637471219880260000,1627163588
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,975,2021-01-24T16:54:54.3370-0500,637471220943370000,1627163694
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,976,2021-01-24T16:59:53.9380-0500,637471223939380000,1627163994
5,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,977,2021-01-24T17:02:49.8470-0500,637471225698470000,1627164170
5,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,978,2021-01-24T17:03:36.8630-0500,637471226168630000,1627164217
22,15,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,979,2021-01-24T17:04:19.6130-0500,637471226596130000,1627164260
18,17,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,980,2021-01-24T17:06:44.5820-0500,637471228045820000,1627164405
6,6,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,981,2021-01-24T17:07:52.5800-0500,637471228725800000,1627164473
24,11,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,982,2021-01-24T17:08:16.6130-0500,637471228966130000,1627164497
5,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,3c00ba4764ae4a4da4fe882f59ab23ba,983,2021-01-24T17:09:31.1350-0500,637471229711350000,1627164571
