,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21600575,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,F,,9:10,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,-15.0
1,21600575,1610612749,MIL,Milwaukee,203953,Jabari Parker,F,,34:02,9.0,16.0,0.563,2.0,3.0,0.667,2.0,2.0,1.0,1.0,6.0,7.0,3.0,1.0,0.0,0.0,5.0,22.0,9.0
2,21600575,1610612749,MIL,Milwaukee,203089,John Henson,C,,17:12,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,3.0,0.0,0.0,1.0,0.0,6.0,-7.0
3,21600575,1610612749,MIL,Milwaukee,203503,Tony Snell,G,,31:20,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,8.0,7.0
4,21600575,1610612749,MIL,Milwaukee,1627763,Malcolm Brogdon,G,,25:22,5.0,11.0,0.455,3.0,5.0,0.6,4.0,5.0,0.8,2.0,4.0,6.0,6.0,0.0,1.0,1.0,3.0,17.0,6.0
5,21600575,1610612749,MIL,Milwaukee,201563,Michael Beasley,,,34:21,11.0,18.0,0.611,1.0,1.0,1.0,5.0,6.0,0.833,1.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,28.0,18.0
6,21600575,1610612749,MIL,Milwaukee,202328,Greg Monroe,,,28:05,7.0,13.0,0.5379999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,4.0,0.0,0.0,3.0,4.0,14.0,2.0
7,21600575,1610612749,MIL,Milwaukee,203521,Matthew Dellavedova,,,22:46,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,0.0,2.0,0.0,4.0,-3.0
8,21600575,1610612749,MIL,Milwaukee,1891,Jason Terry,,,17:13,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,-5.0
9,21600575,1610612749,MIL,Milwaukee,203141,Mirza Teletovic,,,4:52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.0
10,21600575,1610612749,MIL,Milwaukee,1627748,Thon Maker,,,12:54,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,-1.0
11,21600575,1610612749,MIL,Milwaukee,203101,Miles Plumlee,,,2:43,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
12,21600575,1610612749,MIL,Milwaukee,1626173,Rashad Vaughn,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
13,21600575,1610612759,SAS,San Antonio,202695,Kawhi Leonard,F,,36:02,10.0,16.0,0.625,2.0,3.0,0.667,8.0,10.0,0.8,2.0,5.0,7.0,2.0,3.0,3.0,1.0,1.0,30.0,5.0
14,21600575,1610612759,SAS,San Antonio,101135,David Lee,F,,25:36,5.0,6.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,1.0,0.0,1.0,2.0,0.0,10.0,-4.0
15,21600575,1610612759,SAS,San Antonio,2200,Pau Gasol,C,,28:02,3.0,9.0,0.3329999999999999,0.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,4.0,0.0,0.0,2.0,0.0,6.0,2.0
16,21600575,1610612759,SAS,San Antonio,201980,Danny Green,G,,26:02,5.0,12.0,0.417,4.0,9.0,0.444,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,14.0,-2.0
17,21600575,1610612759,SAS,San Antonio,2225,Tony Parker,G,,32:32,7.0,15.0,0.467,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,1.0,0.0,2.0,1.0,14.0,-5.0
18,21600575,1610612759,SAS,San Antonio,1938,Manu Ginobili,,,14:49,1.0,6.0,0.1669999999999999,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,-12.0
19,21600575,1610612759,SAS,San Antonio,201988,Patty Mills,,,15:28,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0
20,21600575,1610612759,SAS,San Antonio,202722,Davis Bertans,,,18:54,4.0,7.0,0.5710000000000001,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,11.0,8.0
21,21600575,1610612759,SAS,San Antonio,203613,Jonathon Simmons,,,22:43,5.0,8.0,0.625,2.0,4.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,-2.0
22,21600575,1610612759,SAS,San Antonio,203473,Dewayne Dedmon,,,19:51,2.0,6.0,0.3329999999999999,0.0,0.0,0.0,1.0,2.0,0.5,4.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,5.0,-3.0
23,21600575,1610612759,SAS,San Antonio,200746,LaMarcus Aldridge,,DND -                                   ,,,,,,,,,,,,,,,,,,,,
24,21600575,1610612759,SAS,San Antonio,203937,Kyle Anderson,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
25,21600575,1610612759,SAS,San Antonio,1627749,Dejounte Murray,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
