,,,,,,,,,,,,,,,,,,,,,,,
synapse,1,org.apache.synapse.core.axis2.Axis2FlexibleMEPClient,10,1,0,38,108,39,1,37,3,0.833333333,604,0.5,0,0.0,0.19047619,0,0,59.2,6,2.2,4
synapse,1,org.apache.synapse.mediators.transform.FaultMediator,27,2,0,29,92,213,2,27,18,0.8873626370000001,596,0.7142857140000001,0,0.193548387,0.196153846,0,0,20.55555556,11,2.3704,2
synapse,1,org.apache.synapse.mediators.GetPropertyFunction,7,1,0,12,36,3,1,12,5,0.666666667,275,0.666666667,1,0.0,0.261904762,0,0,37.85714286,22,3.7143,2
synapse,1,org.apache.synapse.core.axis2.TimeoutHandler,4,2,0,4,22,2,1,3,2,0.5555555560000001,139,1.0,0,0.5,0.625,0,0,33.0,4,1.75,1
synapse,1,org.apache.synapse.mediators.transform.XSLTMediator,15,2,0,17,68,43,2,15,9,0.825396825,473,0.7777777779999999,0,0.3157894739999999,0.223214286,0,0,29.93333333,10,1.8,1
synapse,1,org.apache.synapse.mediators.transform.HeaderMediator,15,2,0,18,58,43,2,16,10,0.8730158729999999,459,0.666666667,0,0.3157894739999999,0.224489796,0,0,29.0,23,2.6667,1
synapse,1,org.apache.synapse.config.xml.PropertyMediatorFactory,5,2,0,11,28,6,0,11,3,0.833333333,216,0.666666667,0,0.25,0.416666667,0,0,41.6,14,3.2,1
synapse,1,org.apache.synapse.endpoints.AddressEndpoint,15,2,0,13,48,63,3,10,13,0.830357143,295,0.875,2,0.235294118,0.255102041,1,1,18.13333333,12,2.0,1
synapse,1,org.apache.synapse.config.xml.endpoints.AddressEndpointSerializer,6,1,0,15,38,7,1,14,3,0.7333333329999999,336,0.666666667,0,0.0,0.35,0,0,54.5,18,4.0,1
synapse,1,org.apache.synapse.SynapseServer,6,1,0,8,47,13,0,8,3,0.8,257,0.5,0,0.0,0.2,0,0,41.5,6,1.5,1
synapse,1,org.apache.synapse.core.axis2.Axis2SynapseEnvironment,9,1,0,17,39,30,1,16,7,0.90625,216,0.75,2,0.0,0.25,0,0,22.55555556,6,1.3333,1
synapse,1,org.apache.synapse.core.SynapseEnvironment,5,1,0,13,5,10,11,3,5,2.0,5,0.0,0,0.0,0.45,0,0,0.0,1,1.0,1
synapse,1,org.apache.synapse.mediators.builtin.PropertyMediator,15,2,0,10,44,47,2,8,12,0.8857142859999999,479,0.7,0,0.3157894739999999,0.3,0,0,30.26666667,27,2.6,1
synapse,1,org.apache.synapse.config.xml.endpoints.AddressEndpointFactory,9,1,0,11,58,28,1,10,4,0.75,465,0.666666667,1,0.0,0.25,0,0,50.33333333,30,4.5556,1
synapse,1,org.apache.synapse.core.axis2.Axis2MessageContext,60,1,0,45,147,490,17,29,56,0.898305085,867,0.909090909,2,0.0,0.103954802,0,0,13.26666667,10,1.4667,1
synapse,1,org.apache.synapse.core.axis2.SynapseCallbackReceiver,7,1,0,34,96,9,2,32,3,0.833333333,527,0.75,0,0.0,0.361111111,0,0,73.71428571,20,4.2857,1
synapse,1,org.apache.synapse.config.xml.ProxyServiceFactory,6,1,0,12,65,3,1,11,2,0.7,585,0.5,0,0.0,0.3,0,0,96.16666667,39,7.0,0
synapse,1,org.apache.synapse.config.xml.OutMediatorFactory,4,3,0,5,9,4,0,5,3,0.666666667,30,1.0,0,0.6,0.666666667,0,0,6.25,1,0.5,0
synapse,1,org.apache.synapse.config.xml.FaultMediatorFactory,5,2,0,11,41,6,0,11,3,0.846153846,423,0.923076923,0,0.25,0.416666667,0,0,81.0,17,3.8,0
synapse,1,org.apache.synapse.statistics.impl.SequenceStatisticsStack,6,1,0,6,22,0,4,3,5,0.0,154,1.0,0,0.0,0.5,0,0,24.5,7,3.0,0
synapse,1,org.apache.synapse.config.XMLToObjectMapper,1,1,0,9,1,0,8,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
synapse,1,org.apache.synapse.mediators.builtin.LogMediator,18,2,0,13,60,65,3,10,9,0.903743316,454,0.454545455,0,0.272727273,0.25210084,0,0,23.61111111,7,1.8889,0
synapse,1,org.apache.synapse.config.xml.AnonymousListMediator,2,3,0,7,4,1,5,2,2,2.0,9,0.0,0,0.933333333,0.75,0,0,3.5,1,0.5,0
synapse,1,org.apache.synapse.registry.AbstractRegistry,8,1,1,10,41,20,1,9,5,0.857142857,220,0.666666667,0,0.0,0.357142857,0,0,26.125,14,2.375,0
synapse,1,org.apache.synapse.statistics.Statistics,7,1,0,1,8,0,1,0,7,0.7222222220000001,104,1.0,0,0.0,0.428571429,0,0,13.0,5,1.4286,0
synapse,1,org.apache.synapse.config.xml.endpoints.EndpointSerializer,1,1,0,12,1,0,10,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
synapse,1,org.apache.synapse.mediators.filters.OutMediator,5,3,0,7,17,8,2,5,3,0.833333333,89,0.666666667,0,0.8235294120000001,0.5,2,2,16.2,6,1.6,0
synapse,1,org.apache.synapse.config.xml.DropMediatorFactory,4,2,0,4,8,4,0,4,3,0.666666667,27,1.0,0,0.333333333,0.666666667,0,0,5.5,1,0.5,0
synapse,1,org.apache.synapse.config.xml.AbstractMediatorSerializer,8,1,11,25,35,20,11,14,4,0.685714286,183,0.8,0,0.0,0.333333333,0,0,21.25,5,1.75,0
synapse,1,org.apache.synapse.core.axis2.AnonymousServiceFactory,6,1,0,15,32,9,1,14,2,1.0,230,0.7777777779999999,1,0.0,0.32,0,0,35.83333333,14,2.8333,0
synapse,1,org.apache.synapse.config.xml.endpoints.utils.WSDL20EndpointBuilder,1,1,0,0,2,0,0,0,1,2.0,4,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
