,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21800764,1610612742,DAL,Dallas,203084,Harrison Barnes,F,,39:11,10.0,24.0,0.417,2.0,7.0,0.286,5.0,5.0,1.0,3.0,4.0,7.0,4.0,0.0,0.0,4.0,0.0,27.0,-9.0
1,21800764,1610612742,DAL,Dallas,1628467,Maxi Kleber,F,,28:39,1.0,3.0,0.3329999999999999,1.0,2.0,0.5,1.0,2.0,0.5,1.0,7.0,8.0,2.0,1.0,0.0,0.0,5.0,4.0,-6.0
2,21800764,1610612742,DAL,Dallas,1626257,Salah Mejri,C,,19:02,2.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,4.0,-8.0
3,21800764,1610612742,DAL,Dallas,1627827,Dorian Finney-Smith,G,,33:41,3.0,9.0,0.3329999999999999,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,3.0,6.0,-8.0
4,21800764,1610612742,DAL,Dallas,1628973,Jalen Brunson,G,,32:40,4.0,14.0,0.286,0.0,0.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,6.0,0.0,0.0,2.0,3.0,9.0,-17.0
5,21800764,1610612742,DAL,Dallas,1629151,Ryan Broekhoff,,,26:38,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,7.0,12.0
6,21800764,1610612742,DAL,Dallas,203939,Dwight Powell,,,24:13,4.0,8.0,0.5,1.0,2.0,0.5,1.0,2.0,0.5,0.0,5.0,5.0,1.0,1.0,2.0,0.0,4.0,10.0,7.0
7,21800764,1610612742,DAL,Dallas,2734,Devin Harris,,,22:47,6.0,11.0,0.545,1.0,4.0,0.25,2.0,3.0,0.667,1.0,3.0,4.0,3.0,0.0,0.0,3.0,2.0,15.0,5.0
8,21800764,1610612742,DAL,Dallas,1717,Dirk Nowitzki,,,13:09,3.0,9.0,0.3329999999999999,1.0,5.0,0.2,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0
9,21800764,1610612742,DAL,Dallas,1629029,Luka Doncic,,DND - Injury/Illness                    ,,,,,,,,,,,,,,,,,,,,
10,21800764,1610612742,DAL,Dallas,1629133,Daryl Macon,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
11,21800764,1610612765,DET,Detroit,203493,Reggie Bullock,F,,30:25,1.0,8.0,0.125,1.0,8.0,0.125,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,13.0
12,21800764,1610612765,DET,Detroit,201933,Blake Griffin,F,,39:25,8.0,26.0,0.308,2.0,7.0,0.286,6.0,8.0,0.75,4.0,6.0,10.0,6.0,1.0,0.0,2.0,3.0,24.0,5.0
13,21800764,1610612765,DET,Detroit,203083,Andre Drummond,C,,36:36,11.0,13.0,0.846,0.0,0.0,0.0,2.0,2.0,1.0,6.0,14.0,20.0,0.0,1.0,1.0,2.0,4.0,24.0,2.0
14,21800764,1610612765,DET,Detroit,1628971,Bruce Brown,G,,20:05,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,4.0
15,21800764,1610612765,DET,Detroit,202704,Reggie Jackson,G,,35:16,6.0,14.0,0.429,1.0,4.0,0.25,4.0,4.0,1.0,2.0,5.0,7.0,9.0,2.0,0.0,2.0,5.0,17.0,18.0
16,21800764,1610612765,DET,Detroit,1628379,Luke Kennard,,,19:32,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
17,21800764,1610612765,DET,Detroit,1626169,Stanley Johnson,,,11:30,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,-8.0
18,21800764,1610612765,DET,Detroit,101181,Jose Calderon,,,12:09,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,-16.0
19,21800764,1610612765,DET,Detroit,203922,Glenn Robinson III,,,1:24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
20,21800764,1610612765,DET,Detroit,204038,Langston Galloway,,,22:16,3.0,6.0,0.5,3.0,6.0,0.5,2.0,3.0,0.667,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,11.0,-1.0
21,21800764,1610612765,DET,Detroit,2585,Zaza Pachulia,,,11:22,1.0,2.0,0.5,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0
22,21800764,1610612765,DET,Detroit,202720,Jon Leuer,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
23,21800764,1610612765,DET,Detroit,1629017,Khyri Thomas,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,
