,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21700073,1610612751,BKN,Brooklyn,1627747,Caris LeVert,G,,5:53,62.8,60.0,54.3,50.0,8.5,10.0,0.3329999999999999,1.0,16.7,0.0,0.111,0.053,16.7,0.5,0.387,0.313,0.326,110.96,118.3,98.58,15,0.0
1,21700073,1610612751,BKN,Brooklyn,203459,Allen Crabbe,,,2:02,100.0,75.0,200.0,200.0,-100.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.62,94.43,78.69,4,0.0
2,21700073,1610612751,BKN,Brooklyn,203112,Quincy Acy,,,2:02,100.0,75.0,200.0,200.0,-100.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.667,82.62,94.43,78.69,4,0.1669999999999999
3,21700073,1610612751,BKN,Brooklyn,203915,Spencer Dinwiddie,,,5:52,102.2,91.7,130.8,130.8,-28.5,-39.1,0.667,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.17,102.24,85.2,12,0.085
4,21700073,1610612751,BKN,Brooklyn,202344,Trevor Booker,,,2:02,100.0,75.0,200.0,200.0,-100.0,-125.0,0.0,0.0,0.0,0.0,1.0,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,82.62,94.43,78.69,4,0.083
5,21700073,1610612751,BKN,Brooklyn,203925,Joe Harris,,,11:45,79.7,76.9,92.7,92.3,-13.0,-15.4,0.143,0.0,33.3,0.0,0.067,0.033,0.0,0.0,0.0,0.074,0.077,104.07,106.2,88.5,26,-0.03
6,21700073,1610612751,BKN,Brooklyn,1628386,Jarrett Allen,,,9:43,77.0,73.9,73.1,72.7,3.9,1.2,0.0,0.0,0.0,0.0,0.143,0.074,0.0,0.5,0.5,0.083,0.087,108.56,111.13,92.61,23,0.238
7,21700073,1610612751,BKN,Brooklyn,203092,Tyler Zeller,,,9:43,77.0,73.9,73.1,72.7,3.9,1.2,0.25,1.0,20.0,0.077,0.143,0.111,20.0,0.667,0.667,0.1669999999999999,0.173,108.56,111.13,92.61,23,0.214
8,21700073,1610612751,BKN,Brooklyn,203930,Sean Kilpatrick,,,9:43,77.0,73.9,73.1,72.7,3.9,1.2,0.25,1.0,8.3,0.0,0.071,0.037,8.3,0.25,0.392,0.4579999999999999,0.477,108.56,111.13,92.61,23,0.095
9,21700073,1610612752,NYK,New York,203501,Tim Hardaway Jr.,F,,11:45,92.7,92.3,79.7,76.9,13.0,15.4,0.0,0.0,0.0,0.0,0.067,0.033,0.0,0.375,0.41,0.161,0.162,104.07,106.2,88.5,26,-0.03
10,21700073,1610612752,NYK,New York,204001,Kristaps Porzingis,F,,7:55,88.9,83.3,69.3,66.7,19.6,16.7,0.0,0.0,0.0,0.1,0.1669999999999999,0.136,0.0,0.643,0.643,0.35,0.371,103.68,109.14,90.95,18,0.349
11,21700073,1610612752,NYK,New York,101127,Jarrett Jack,G,,4:02,88.8,77.8,59.2,50.0,29.6,27.8,0.0,0.0,0.0,0.0,0.286,0.1669999999999999,0.0,0.0,0.0,0.0,0.0,97.11,113.06,94.21,9,0.375
12,21700073,1610612752,NYK,New York,203124,Kyle O'Quinn,,,5:36,100.0,100.0,97.4,100.0,2.6,0.0,0.2,1.0,33.3,0.143,0.5710000000000001,0.357,33.3,0.0,0.0,0.143,0.143,104.23,102.86,85.71,12,0.109
13,21700073,1610612752,NYK,New York,203926,Doug McDermott,,,5:36,100.0,100.0,97.4,100.0,2.6,0.0,0.0,0.0,0.0,0.0,0.286,0.143,0.0,0.5,0.5,0.143,0.143,104.23,102.86,85.71,12,0.13
14,21700073,1610612752,NYK,New York,1628373,Frank Ntilikina,,,7:43,94.4,94.4,90.1,88.2,4.3,6.2,0.25,0.5,12.5,0.0,0.125,0.0559999999999999,25.0,0.7,0.7,0.318,0.318,107.71,108.83,90.69,18,0.2
15,21700073,1610612752,NYK,New York,1626195,Willy Hernangomez,,,6:09,86.5,85.7,62.7,57.1,23.8,28.6,0.25,1.0,25.0,0.25,0.0,0.125,25.0,0.5,0.5,0.176,0.178,103.93,109.24,91.03,14,0.2
16,21700073,1610612752,NYK,New York,202498,Lance Thomas,,,3:50,100.0,100.0,103.1,100.0,-3.1,0.0,0.0,0.0,0.0,0.0,0.3329999999999999,0.125,0.0,0.0,0.0,0.0,0.0,104.89,106.39,88.66,9,0.0
17,21700073,1610612752,NYK,New York,1628422,Damyean Dotson,,,6:09,86.5,85.7,62.7,57.1,23.8,28.6,0.0,0.0,0.0,0.125,0.0,0.063,0.0,0.0,0.0,0.235,0.237,103.93,109.24,91.03,14,-0.35
