,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21900438,1610612750,MIN,Minnesota,203952,Andrew Wiggins,F,,9:08,100.6,100.0,118.6,125.0,-18.0,-25.0,0.0,0.0,0.0,0.083,0.125,0.1,12.5,0.833,0.872,0.3329999999999999,0.335,110.22,107.7,89.75,21,0.29
1,21900438,1610612750,MIN,Minnesota,203496,Robert Covington,F,,8:00,117.4,116.7,124.7,129.4,-7.3,-12.7,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.5,0.5,0.238,0.239,106.52,104.96,87.46,18,-0.06
2,21900438,1610612750,MIN,Minnesota,203476,Gorgui Dieng,C,,8:54,86.2,85.7,94.9,95.2,-8.7,-9.5,0.0,0.0,0.0,0.077,0.444,0.2269999999999999,25.0,0.0,0.0,0.1669999999999999,0.168,113.11,113.22,94.35,21,0.0
3,21900438,1610612750,MIN,Minnesota,203894,Shabazz Napier,G,,9:26,96.0,95.5,124.3,133.3,-28.4,-37.9,0.2,0.0,16.7,0.0,0.125,0.048,0.0,0.6,0.6,0.2,0.201,112.92,109.36,91.13,22,0.1369999999999999
4,21900438,1610612750,MIN,Minnesota,201952,Jeff Teague,,,9:15,110.2,109.5,101.7,104.8,8.5,4.8,0.5710000000000001,4.0,57.1,0.1,0.222,0.158,14.3,0.75,0.75,0.125,0.126,110.28,108.93,90.78,21,0.211
5,21900438,1610612750,MIN,Minnesota,203943,Noah Vonleh,,,3:05,133.3,133.3,134.4,142.9,-1.1,-9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1669999999999999,0.1669999999999999,104.61,101.19,84.32,6,-0.057
6,21900438,1610612750,MIN,Minnesota,1628966,Keita Bates-Diop,,,3:59,55.6,55.6,73.5,80.0,-18.0,-24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,119.78,114.48,95.4,9,-0.111
7,21900438,1610612750,MIN,Minnesota,1629633,Jarrett Culver,,,2:51,83.3,83.3,67.2,71.4,16.1,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1669999999999999,0.1669999999999999,113.18,109.47,91.23,6,-0.125
8,21900438,1610612750,MIN,Minnesota,1629669,Jaylen Nowell,,,5:17,72.7,66.7,77.6,83.3,-4.9,-16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1669999999999999,0.182,108.48,109.02,90.85,12,0.0
9,21900438,1610612757,POR,Portland,203145,Kent Bazemore,F,,9:26,124.3,133.3,96.0,95.5,28.4,37.9,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.833,0.872,0.174,0.17,112.92,109.36,91.13,21,0.123
10,21900438,1610612757,POR,Portland,202355,Hassan Whiteside,C,,8:00,124.7,129.4,117.4,116.7,7.3,12.7,0.2,0.0,33.3,0.1669999999999999,0.222,0.2,0.0,1.0,1.0,0.105,0.107,106.52,104.96,87.46,17,0.209
11,21900438,1610612757,POR,Portland,203468,CJ McCollum,G,,10:41,105.6,112.0,92.4,92.0,13.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.7,0.7909999999999999,0.259,0.254,115.43,112.29,93.57,25,0.156
12,21900438,1610612757,POR,Portland,203081,Damian Lillard,G,,8:00,124.7,129.4,117.4,116.7,7.3,12.7,0.1669999999999999,1.0,14.3,0.0,0.111,0.067,14.3,0.25,0.41,0.316,0.322,106.52,104.96,87.46,17,0.06
13,21900438,1610612757,POR,Portland,1629018,Gary Trent Jr.,,,2:59,92.6,88.9,100.0,100.0,-7.4,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.222,0.231,133.71,136.61,113.84,9,0.087
14,21900438,1610612757,POR,Portland,1629014,Anfernee Simons,,,5:17,77.6,83.3,72.7,66.7,4.9,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.417,0.3879999999999999,108.48,109.02,90.85,12,-0.231
15,21900438,1610612757,POR,Portland,1627746,Skal Labissiere,,,11:33,92.7,96.0,96.3,95.8,-3.6,0.2,0.1,0.0,50.0,0.0,0.231,0.12,0.0,0.0,0.0,0.037,0.037,103.4,101.82,84.85,25,0.095
16,21900438,1610612757,POR,Portland,1629642,Nassir Little,,,3:59,73.5,80.0,55.6,55.6,18.0,24.4,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.0,1.0,0.1,0.092,119.78,114.48,95.4,10,0.556
